nullrtA2a0,rtA2a1,rtA2a2,rtA2a3,rtA2a4,rtA2a5,rtA2a6,rtA2a7,rtA2a8,rtA2a9,rtA2a10,rtA2a11,rtA2a12,rtA2a13,rtA2a14,rtA2a15,rtA2a16,rtA2a17,rtA2a18,rtA2a19,rtA2a20,rtA2a21,rtA2a22,rtA2a23,rtA2a24,rtA2a25,rtA2a26,rtA2a27,rtA2a28,rtA2a29,rtA2a30,rtA2a31,rtA2a32,rtA2a33,rtA2a34,rtA2a35,rtA2a36,rtA2a37,rtA2a38,rtA2a39,rtA2a40,rtA2a41,rtA2a42,rtA2a43,rtA2a44,rtA2a45,rtA2a46,rtA2a47,rtA2a48,rtA2a49,rtA2a50,rtA2a51,rtA2a52,rtA2a53,rtA2a54,rtA2a55,rtA2a56,rtA2a57,rtA2a58,rtA2a59,rtA2a60,rtA2a61,rtA2a62,rtA2a63,rtA2a64,rtA2a65,rtA2a66,rtA2a67,rtA2a68,rtA2a69,rtA2a70,rtA2a71,rtA2a72,rtA2a73,rtA2a74,rtA2a75,rtA2a76,rtA2a77,rtA2a78,rtA2a79,rtA2a80,rtA2a81,rtA2a82,rtA2a83,rtA2a84,rtA2a85,rtA2a86,rtA2a87,rtA2a88,rtA2a89,rtA2a90,rtA2a91,rtA2a92,rtA2a93,rtA2a94,rtA2a95,rtA2a96,rtA2a97,rtA2a98,rtA2a99,rtA2a100,rtA2a101,rtA2a102,rtA2a103,rtA2a104,rtA2a105,rtA2a106,rtA2a107,rtA2a108,rtA2a109,rtA2a110,rtA2a111,rtA2a112,rtA2a113,rtA2a114,rtA2a115,rtA2a116,rtA2a117,rtA2a118,rtA2a119,rtA2a120,rtA2a121,rtA2a122,rtA2a123,rtA2a124,rtA2a125,rtA2a126,rtA2a127,rtA2a128,rtA2a129,rtA2a130,rtA2a131,rtA2a132,rtA2a133,rtA2a134,rtA2a135,rtA2a136,rtA2a137,rtA2a138,rtA2a139,rtA2a140,rtA2a141,rtA2a142,rtA2a143,rtA2a144,rtA2a145,rtA2a146,rtA2a147,rtA2a148,rtA2a149,rtA2a150,rtA2a151,rtA2a152,rtA2a153,rtA2a154,rtA2a155,rtA2a156,rtA2a157,rtA2a158,rtA2a159,rtA2a160,rtA2a161,rtA2a162,rtA2a163,rtA2a164,rtA2a165,rtA2a166,rtA2a167,rtA2a168,rtA2a169,rtA2a170,rtA2a171,rtA2a172,rtA2a173,rtA2a174,rtA2a175,rtA2a176,rtA2a177,rtA2a178,rtA2a179,rtA2a180,rtA2a181,rtA2a182,rtA2a183,rtA2a184,rtA2a185,rtA2a186,rtA2a187,rtA2a188,rtA2a189,rtA2a190,rtA2a191,rtA2a192,rtA2a193,rtA2a194,rtA2a195,rtA2a196,rtA2a197,rtA2a198,rtA2a199,rtA2a200,rtA2a201,rtA2a202,rtA2a203,rtA2a204,rtA2a205,rtA2a206,rtA2a207,rtA2a208,rtA2a209,rtA2a210,rtA2a211,rtA2a212,rtA2a213,rtA2a214,rtA2a215,rtA2a216,rtA2a217,rtA2a218,rtA2a219,rtA2a220,rtA2a221,rtA2a222,rtA2a223,rtA2a224,rtA2a225,rtA2a226,rtA2a227,rtA2a228,rtA2a229,rtA2a230,rtA2a231,rtA2a232,rtA2a233,rtA2a234,rtA2a235,rtA2a236,rtA2a237,rtA2a238,rtA2a239,rtA2a240,rtA2a241,rtA2a242,rtA2a243,rtA2a244,rtA2a245,rtA2a246,rtA2a247,rtA2a248,rtA2a249,rtA2a250,rtA2a251,rtA2a252,rtA2a253,rtA2a254,rtA2a255,rtA2a256,rtA2a257,rtA2a258,rtA2a259,rtA2a260,rtA2a261,rtA2a262,rtA2a263,rtA2a264,rtA2a265,rtA2a266,rtA2a267,rtA2a268,rtA2a269,rtA2a270,rtA2a271,rtA2a272,rtA2a273,rtA2a274,rtA2a275,rtA2a276,rtA2a277,rtA2a278,rtA2a279,rtA2a280,rtA2a281,rtA2a282,rtA2a283,rtA2a284,rtA2a285,rtA2a286,rtA2a287,rtA2a288,rtA2a289,rtA2a290,rtA2a291,rtA2a292,rtA2a293,rtA2a294,rtA2a295,rtA2a296,rtA2a297,rtA2a298,rtA2a299,rtA2a300
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
0,4235,27815,63787,63990,64199,64500,64750,64851,64954,65046,65047,65047,28463,65146,65245,65345,65447,65548,65549,65584,65687,65790,65891,29063,65990,66137,66238,66341,66441,66542,66563,66604,66705,66805,29598,66906,67006,67066,67104,67106,67107,67170,67371,67574,67774,30369,67976,68113,68113,68116,68123,68225,68365,68633,68930,69227,31049,69427,69588,69625,69626,69704,69805,69908,70042,70300,70660,31742,71047,71457,71954,72304,72461,72564,72648,72649,72649,72653,32415,72656,72657,72740,72841,72941,73044,73144,73164,73165,73166,33128,73266,73368,73536,73738,74135,74540,74936,75273,75606,75707,33751,75707,75782,75888,76018,76223,76422,76549,76650,76726,76855,8587,34295,77055,77260,77461,77663,77741,77786,77970,78172,78358,78460,34608,78518,78535,78636,78736,78837,78939,79083,79183,79283,79387,34973,79489,79533,79533,79543,79645,79778,79978,80176,80369,80470,35375,80539,80540,80541,80543,80546,80552,80564,80567,80568,80585,35697,80684,80888,81087,81287,81475,81658,81849,82052,82255,82453,36149,82664,82965,83262,83377,83479,83580,83677,83779,83827,84019,36649,84222,84426,84627,84828,84850,84851,84852,84854,84919,85123,37116,85321,85524,85726,85861,85958,86059,86159,86262,86362,86370,37605,86371,86380,86383,86383,86388,86388,86393,86394,86396,86397,38024,86397,86397,86401,86404,86406,86407,86408,86410,86411,86412,13006,38470,86412,38892,39403,39908,40436,40938,41411,41693,41891,42197,17506,42497,42918,43492,44192,44725,45176,45589,45946,46246,46546,22105,46795,46968,47131,47231,47400,47735,48235,48641,49166,49813,23319,50500,51101,51695,52170,52458,52548,52548,52550,52686,52886,24445,53181,53585,53984,54282,54580,54786,54892,55092,55264,55364,25563,55529,55723,55846,56206,56602,57056,57582,58204,58644,59046,26654,59332,59904,60495,61174,61912,62696,63092,63351,63475,63587
