nullrtA1a2a0,rtA1a2a1,rtA1a2a2,rtA1a2a3,rtA1a2a4,rtA1a2a5,rtA1a2a6,rtA1a2a7,rtA1a2a8,rtA1a2a9,rtA1a2a10,rtA1a2a11,rtA1a2a12,rtA1a2a13,rtA1a2a14,rtA1a2a15,rtA1a2a16,rtA1a2a17,rtA1a2a18,rtA1a2a19,rtA1a2a20,rtA1a2a21,rtA1a2a22,rtA1a2a23,rtA1a2a24,rtA1a2a25,rtA1a2a26,rtA1a2a27,rtA1a2a28,rtA1a2a29,rtA1a2a30,rtA1a2a31,rtA1a2a32,rtA1a2a33,rtA1a2a34,rtA1a2a35,rtA1a2a36,rtA1a2a37,rtA1a2a38,rtA1a2a39,rtA1a2a40,rtA1a2a41,rtA1a2a42,rtA1a2a43,rtA1a2a44,rtA1a2a45,rtA1a2a46,rtA1a2a47,rtA1a2a48,rtA1a2a49,rtA1a2a50,rtA1a2a51,rtA1a2a52,rtA1a2a53,rtA1a2a54,rtA1a2a55,rtA1a2a56,rtA1a2a57,rtA1a2a58,rtA1a2a59,rtA1a2a60,rtA1a2a61,rtA1a2a62,rtA1a2a63,rtA1a2a64,rtA1a2a65,rtA1a2a66,rtA1a2a67,rtA1a2a68,rtA1a2a69,rtA1a2a70,rtA1a2a71,rtA1a2a72,rtA1a2a73,rtA1a2a74,rtA1a2a75,rtA1a2a76,rtA1a2a77,rtA1a2a78,rtA1a2a79,rtA1a2a80,rtA1a2a81,rtA1a2a82,rtA1a2a83,rtA1a2a84,rtA1a2a85,rtA1a2a86,rtA1a2a87,rtA1a2a88,rtA1a2a89,rtA1a2a90,rtA1a2a91,rtA1a2a92,rtA1a2a93,rtA1a2a94,rtA1a2a95,rtA1a2a96,rtA1a2a97,rtA1a2a98,rtA1a2a99,rtA1a2a100,rtA1a2a101,rtA1a2a102,rtA1a2a103,rtA1a2a104,rtA1a2a105,rtA1a2a106,rtA1a2a107,rtA1a2a108,rtA1a2a109,rtA1a2a110,rtA1a2a111,rtA1a2a112,rtA1a2a113,rtA1a2a114,rtA1a2a115,rtA1a2a116,rtA1a2a117,rtA1a2a118,rtA1a2a119,rtA1a2a120,rtA1a2a121,rtA1a2a122,rtA1a2a123,rtA1a2a124,rtA1a2a125,rtA1a2a126,rtA1a2a127,rtA1a2a128,rtA1a2a129,rtA1a2a130,rtA1a2a131,rtA1a2a132,rtA1a2a133,rtA1a2a134,rtA1a2a135,rtA1a2a136,rtA1a2a137,rtA1a2a138,rtA1a2a139,rtA1a2a140,rtA1a2a141,rtA1a2a142,rtA1a2a143,rtA1a2a144,rtA1a2a145,rtA1a2a146,rtA1a2a147,rtA1a2a148,rtA1a2a149,rtA1a2a150,rtA1a2a151,rtA1a2a152,rtA1a2a153,rtA1a2a154,rtA1a2a155,rtA1a2a156,rtA1a2a157,rtA1a2a158,rtA1a2a159,rtA1a2a160,rtA1a2a161,rtA1a2a162,rtA1a2a163,rtA1a2a164,rtA1a2a165,rtA1a2a166,rtA1a2a167,rtA1a2a168,rtA1a2a169,rtA1a2a170,rtA1a2a171,rtA1a2a172,rtA1a2a173,rtA1a2a174,rtA1a2a175,rtA1a2a176,rtA1a2a177,rtA1a2a178,rtA1a2a179,rtA1a2a180,rtA1a2a181,rtA1a2a182,rtA1a2a183,rtA1a2a184,rtA1a2a185,rtA1a2a186,rtA1a2a187,rtA1a2a188,rtA1a2a189,rtA1a2a190,rtA1a2a191,rtA1a2a192,rtA1a2a193,rtA1a2a194,rtA1a2a195,rtA1a2a196,rtA1a2a197,rtA1a2a198,rtA1a2a199,rtA1a2a200,rtA1a2a201,rtA1a2a202,rtA1a2a203,rtA1a2a204,rtA1a2a205,rtA1a2a206,rtA1a2a207,rtA1a2a208,rtA1a2a209,rtA1a2a210,rtA1a2a211,rtA1a2a212,rtA1a2a213,rtA1a2a214,rtA1a2a215,rtA1a2a216,rtA1a2a217,rtA1a2a218,rtA1a2a219,rtA1a2a220,rtA1a2a221,rtA1a2a222,rtA1a2a223,rtA1a2a224,rtA1a2a225,rtA1a2a226,rtA1a2a227,rtA1a2a228,rtA1a2a229,rtA1a2a230,rtA1a2a231,rtA1a2a232,rtA1a2a233,rtA1a2a234,rtA1a2a235,rtA1a2a236,rtA1a2a237,rtA1a2a238,rtA1a2a239,rtA1a2a240,rtA1a2a241,rtA1a2a242,rtA1a2a243,rtA1a2a244,rtA1a2a245,rtA1a2a246,rtA1a2a247,rtA1a2a248,rtA1a2a249,rtA1a2a250,rtA1a2a251,rtA1a2a252,rtA1a2a253,rtA1a2a254,rtA1a2a255,rtA1a2a256,rtA1a2a257,rtA1a2a258,rtA1a2a259,rtA1a2a260,rtA1a2a261,rtA1a2a262,rtA1a2a263,rtA1a2a264,rtA1a2a265,rtA1a2a266,rtA1a2a267,rtA1a2a268,rtA1a2a269,rtA1a2a270,rtA1a2a271,rtA1a2a272,rtA1a2a273,rtA1a2a274,rtA1a2a275,rtA1a2a276,rtA1a2a277,rtA1a2a278,rtA1a2a279,rtA1a2a280,rtA1a2a281,rtA1a2a282,rtA1a2a283,rtA1a2a284,rtA1a2a285,rtA1a2a286,rtA1a2a287,rtA1a2a288,rtA1a2a289,rtA1a2a290,rtA1a2a291,rtA1a2a292,rtA1a2a293,rtA1a2a294,rtA1a2a295,rtA1a2a296,rtA1a2a297,rtA1a2a298,rtA1a2a299,rtA1a2a300
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
0,76,526,8038,8139,8239,8339,8484,8686,8884,9086,9284,9484,625,9686,9884,10084,10284,10486,10684,10884,11086,11241,11341,725,11440,11540,11641,11742,11841,11943,12042,12142,12243,12343,826,12443,12543,12642,12743,12842,12942,13046,13146,13247,13347,929,13448,13547,13647,13747,13847,13947,14048,14148,14247,14348,979,14448,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,979,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,981,14485,14485,14485,14485,14485,14485,14485,14485,14485,14485,985,14485,14485,14485,14487,14487,14488,14488,14488,14488,14488,176,985,14488,14488,14488,14488,14488,14488,14493,14493,14493,14493,985,14493,14498,14498,14498,14498,14498,14499,14499,14499,14499,987,14499,14499,14499,14499,14499,14499,14499,14499,14499,14499,987,14499,14499,14499,14499,14508,14565,14565,14565,14565,14565,987,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1077,14565,14565,14565,14565,14565,14565,14565,14565,14565,14565,1177,14565,14565,14565,14565,14565,14565,14565,14565,14566,14566,1279,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1379,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,1479,14566,14566,14566,14566,14566,14566,14566,14566,14566,14566,275,1581,14566,1680,1780,1881,1983,2083,2183,2283,2382,2484,375,2584,2685,2785,2885,2984,3084,3184,3284,3384,3484,476,3584,3684,3784,3884,3988,4091,4191,4290,4395,4495,478,4597,4697,4796,4896,4997,5096,5196,5297,5399,5499,478,5598,5699,5799,5901,6000,6101,6200,6300,6401,6500,478,6601,6700,6800,6823,6823,6823,6823,6823,6832,6932,478,7033,7138,7237,7337,7438,7539,7638,7738,7838,7938
